epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1387.13,0.89448,0.5291,1.16125,0.85385,0.82022,0.87632,0.58673,1.1186,0.62348,1.28063,0.007888,0.007888,0.007888
66,1408.54,0.9042,0.52865,1.15605,0.83329,0.80172,0.86441,0.57849,1.13582,0.61073,1.27547,0.007855,0.007855,0.007855
67,1429.58,0.88098,0.52153,1.14576,0.86767,0.8075,0.86921,0.58214,1.11292,0.61692,1.27276,0.007822,0.007822,0.007822
68,1450.66,0.87117,0.51013,1.14402,0.84267,0.81527,0.87054,0.58671,1.13036,0.62429,1.28598,0.007789,0.007789,0.007789
69,1471.69,0.87829,0.52156,1.14348,0.86056,0.81897,0.87861,0.58492,1.12242,0.61429,1.28291,0.007756,0.007756,0.007756
70,1492.54,0.87282,0.51746,1.14874,0.85245,0.83498,0.89012,0.58569,1.13333,0.62294,1.2918,0.007723,0.007723,0.007723
71,1513.58,0.85428,0.50782,1.14615,0.80879,0.84852,0.87411,0.57932,1.11834,0.63199,1.29864,0.00769,0.00769,0.00769
72,1535.6,0.86015,0.50562,1.13548,0.84659,0.84606,0.89216,0.59158,1.11751,0.5999,1.26775,0.007657,0.007657,0.007657
73,1557.28,0.85058,0.50358,1.13086,0.8592,0.81158,0.87341,0.58631,1.12828,0.60326,1.27765,0.007624,0.007624,0.007624
74,1578.33,0.85138,0.50324,1.14254,0.85694,0.81158,0.88649,0.58822,1.11397,0.58931,1.27637,0.007591,0.007591,0.007591
75,1599.7,0.85609,0.50344,1.13853,0.86789,0.79926,0.87194,0.58172,1.11509,0.62579,1.27646,0.007558,0.007558,0.007558
76,1620.34,0.87234,0.50568,1.14698,0.85069,0.83496,0.88515,0.59299,1.10999,0.60248,1.26826,0.007525,0.007525,0.007525
77,1641.71,0.84797,0.49572,1.13136,0.84391,0.83228,0.88152,0.59218,1.13395,0.60454,1.29212,0.007492,0.007492,0.007492
78,1663.1,0.84665,0.49333,1.12913,0.8485,0.81773,0.87186,0.5815,1.1166,0.60898,1.26841,0.007459,0.007459,0.007459
79,1683.92,0.84177,0.49929,1.13374,0.85767,0.81281,0.88144,0.58661,1.12406,0.5916,1.28268,0.007426,0.007426,0.007426
80,1704.86,0.85712,0.49687,1.14022,0.85836,0.83744,0.8851,0.59001,1.10679,0.58994,1.27108,0.007393,0.007393,0.007393
81,1726,0.83212,0.48783,1.12351,0.87705,0.80788,0.87722,0.59119,1.11974,0.59111,1.278,0.00736,0.00736,0.00736
82,1747.06,0.82396,0.48283,1.11957,0.88702,0.7968,0.88002,0.58376,1.11023,0.58561,1.27415,0.007327,0.007327,0.007327
83,1767.95,0.83667,0.48316,1.1147,0.82795,0.8356,0.86429,0.57755,1.11949,0.62206,1.28131,0.007294,0.007294,0.007294
84,1789.17,0.83446,0.48631,1.11984,0.84551,0.82759,0.88259,0.58488,1.12697,0.61402,1.29807,0.007261,0.007261,0.007261
85,1810.13,0.82669,0.4789,1.11378,0.85348,0.83128,0.88405,0.58818,1.12235,0.63217,1.28963,0.007228,0.007228,0.007228
86,1831.08,0.83173,0.47889,1.12117,0.87008,0.82475,0.88312,0.58311,1.13427,0.62227,1.29114,0.007195,0.007195,0.007195
87,1852.09,0.82329,0.47935,1.11542,0.85895,0.80996,0.8774,0.58904,1.11226,0.61365,1.27591,0.007162,0.007162,0.007162
88,1874.02,0.83596,0.48282,1.11607,0.84475,0.80911,0.86768,0.58206,1.13073,0.60039,1.30501,0.007129,0.007129,0.007129
89,1894.61,0.81821,0.47481,1.10784,0.86288,0.82148,0.87943,0.58442,1.13169,0.59777,1.28993,0.007096,0.007096,0.007096
90,1915.49,0.80744,0.46457,1.10213,0.88399,0.80911,0.88525,0.58687,1.1262,0.58312,1.29342,0.007063,0.007063,0.007063
91,1936.6,0.80474,0.46371,1.10498,0.88897,0.80852,0.88558,0.59085,1.13371,0.57785,1.30454,0.00703,0.00703,0.00703
92,1957.81,0.82623,0.47377,1.11153,0.85717,0.81034,0.86737,0.58548,1.10268,0.60361,1.26633,0.006997,0.006997,0.006997
93,1978.64,0.80382,0.45988,1.10358,0.86536,0.81281,0.87218,0.58368,1.125,0.62729,1.3042,0.006964,0.006964,0.006964
94,1999.73,0.82292,0.46969,1.1044,0.85103,0.82759,0.88164,0.58695,1.12118,0.60207,1.28627,0.006931,0.006931,0.006931
95,2021.11,0.80623,0.46744,1.09944,0.85605,0.81773,0.88295,0.59542,1.11539,0.58192,1.27721,0.006898,0.006898,0.006898
96,2042.41,0.79927,0.4502,1.09161,0.85394,0.81158,0.86887,0.58597,1.126,0.59244,1.27694,0.006865,0.006865,0.006865
97,2063.37,0.79955,0.45701,1.09049,0.87401,0.82019,0.87821,0.58654,1.11541,0.58314,1.27781,0.006832,0.006832,0.006832
98,2084.32,0.77451,0.45241,1.09649,0.90164,0.78695,0.87673,0.58828,1.12358,0.60478,1.28772,0.006799,0.006799,0.006799
99,2105.1,0.80357,0.45734,1.09299,0.85783,0.8202,0.87996,0.58345,1.12564,0.61577,1.28305,0.006766,0.006766,0.006766
